smart_lights_name, smart_lights_price 
"Light Bulb Camera,Include 16GB Card 1080P WiFi Security Camera, 2MP Wireles IP LED Cam,360 Degrees Panoramic VR Indoor/Outdoor Home Surveillance Cameras,Motion Detection/Night Vision/Alarm", $29.00 
"LED Strip Lights Smart WiFi 32.8ft Waterproof RGB 5050LEDs Color Changing Light Strips Work with Alexa, Google Assistant, App and Remote Controlled, 12V Tape Light for Bedroom, Home Decorations", $48.00 
"DAYBETTER LED Strip Lights, Smart LED Lights 16.4ft Waterproof 5050 RGB Color Changing Controlled by Phone APP, Sync to Music, WiFi LED Strips Work with Alexa, Google Assistant for Bedroom", $39.00 
QJB 65.6ft-WiFi LED Strips Lights Remote Control 16 Million Color Changing Smart LED Tape Light swith Alexa Music Sync Rope Lights Decoration for Home Lighting Kitchen Bed Flexible Strip Lights Bar, $65.00 
"HitLights Smart LED Strip Lights WiFi LED Tape Light Kit, 16.4FT RGB 12V LED Color Changing 5050 Strips Compatible with Alexa, Echo, Google Home, Smart Phone Controlled", $35.00 
"Kasa Smart Light Bulb, LED Multicolor Smart WiFi Alexa Bulbs works with Alexa and Google Home, A19,2.4Ghz, No Hub Required, 800LM RGB Color Changing (2500K-9000K), 10.5W(KL130)", $29.00 
"OHLUX Smart WiFi LED Light Bulbs Compatible with Alexa Google Home and IFTTT(No Hub Required), RGBCW Multi-Color, Warm to Cool White Dimmable, 60W Equivalent, 7W E26 A19 Color Changing Bulb-4PACK", $34.00 
"LED Strip Lights, DAYBETTER 16.4 FT Smart Strip Lights 5050 Kit 150 LEDs Work with Alex Google Assistant WiFi Rope Light APP Controlled Smart Light Strip for Bedroom, Home, Ceiling, Cupboard Lighting", $30.00 
"MagicLight Smart WiFi Bulb No Hub Required, Dimmable Multicolor E26 A19 7W (60w Equivalent) RGBCW LED Smart Light, Works with Alexa Google Home and Siri (4 Pack)", $34.00 
"Philips Hue 551788-2 Filament Smart Light Bulb, 2-Pack, Amber", $52.00 
WeMo Smart Light Switch 2ND Gen, $39.00 
"HitLights LED Strip Lights 32.8ft 5050 Smart Color Changing RGB LED Strips, Music Sync Light Strip Kit 24 Key Remote Controller Working with Alexa, Goole Home for Bedroom Party Home Decoration", $45.00 
"Smart Light Switch, Treatlife 2.4Ghz Smart Switch Wi-Fi Light Switch, Neutral Wire Required, Works with Alexa and Google Assistant, Single-Pole, Schedule, Remote Control, ETL Listed, 4 Pack", $54.00 
"Kasa Smart Light Switch by TP-Link, Single Pole, Needs Neutral Wire, 2.4Ghz WiFi Light Switch Works with Alexa and Google Assistant, UL Certified, 1-Pack (HS200), White", $19.00 
GUSODOR LED Strip Lights RGB Strips 32.8ft Tape Light 300 LEDs SMD5050 Waterproof Music Sync Color Changing + Bluetooth Controller + 24Key Remote Control Decoration for Home TV Party - APP Controlled, $49.00 
"Amazon Smart Plug, works with Alexa – A Certified for Humans Device", $24.00 
"MagicLight Smart WiFi Light Bulb (No Hub Required), Dimmable Multicolor A19 E26 7W (60w Equivalent) RGBCW Smart LED Lights, Works with Alexa Google Home and Siri (3 Pack)", $26.00 
"50FT/15M LED Strip Lights, Tenmiro Smart Led Lights Strip SMD5050 Music Sync Color Changing RGB Lights APP Bluetooth Control + Remote, LED Lights for Bedroom Party Home Decoration", $49.00 
"LED Strip Lights, IKERY WiFi APP Control 32.8ft Smart RGB Light Strips Compatible with Alexa Google Assistant, Music Sync Color Changing Tape Lights for Room, Kitchen, TV, Party, Home Decoration", $39.00 
"3-Way Smart Light Switch, Neutral Wire Required, Treatlife WiFi Light Switch 3-Way Switch Works with Alexa, Google Assistant, Remote Control, ETL, Schedule, No Hub Required, 4 Pack", $74.00 
"Smart Light Bulbs, Aoycocr BR30 Dimmable LED Light Bulbs, 720 Lumen, Tunable White 2700K - 9000K,9 (80W Equivalent), Works with Alexa, Google Assistant, No Hub Required, Wi-Fi, E26 Base, 6 Pack", $78.00 
Echo Flex - Plug-in mini smart speaker with Alexa, $24.00 
Echo Show 5 – stay connected and in touch with Alexa - Charcoal, $89.00 
"Geeni, Sentry Floodlight Security Camera with Motion Sensor, Intruder Alarm and Audio Video Recording", $99.00 
"Gosund Smart Light Bulb Works with Alexa Google Home, WiFi LED Bulb, E26 Dimmable Bulb A19 No Hub Required 2700K Warm White 8W Lights 75W Equivalent Lighting 4pack", $28.00 
